name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Bangla Sweet Corner,"Chinese, North Indian, Mithai, Street Food",400,0,0,1,2.6,Average,32,New Delhi,Lodhi Colony,28.5820580000,77.2207110000,Rs.,Budget,Chinese,Poor,No Delivery
Ganesha Sweets & Restaurant,"North Indian, Mithai, Street Food",500,0,0,2,2.6,Average,26,New Delhi,Lodhi Colony,28.5863699000,77.2264595000,Rs.,Moderate,North Indian,Poor,No Delivery
Golooji's Chat Waat,Street Food,400,0,0,1,3.3,Average,13,New Delhi,Lodhi Road,28.5899700000,77.2256070000,Rs.,Budget,Street Food,Average,No Delivery
Green Chick Chop,"Raw Meats, North Indian, Fast Food",350,0,0,1,2.9,Average,12,New Delhi,Lodhi Colony,28.5829457000,77.2206212000,Rs.,Budget,Raw Meats,Poor,No Delivery
Lodhi Knights,Fast Food,200,0,0,1,3.1,Average,8,New Delhi,Lodhi Colony,28.5853283000,77.2202427000,Rs.,Budget,Fast Food,Average,No Delivery
Icon,"Chinese, North Indian",1000,0,1,3,3.2,Average,18,New Delhi,Lodhi Colony,28.5845896000,77.2237649000,Rs.,Premium,Chinese,Average,No Delivery
Baked and Wrapped,"Bakery, Desserts",500,0,0,2,3.1,Average,5,New Delhi,INA,28.5780214000,77.2093928000,Rs.,Moderate,Bakery,Average,No Delivery
China Hut,Chinese,400,1,0,1,3.0,Average,16,New Delhi,Jangpura,28.5817203000,77.2472956000,Rs.,Budget,Chinese,Average,Has Delivery
Cake Me Up,Bakery,400,0,0,1,3.1,Average,7,New Delhi,Jangpura,28.5799189000,77.2415481000,Rs.,Budget,Bakery,Average,No Delivery
Modi Pastry Corner,"Bakery, Fast Food",100,0,0,1,2.6,Average,17,New Delhi,Jangpura,28.5813908000,77.2467562000,Rs.,Budget,Bakery,Poor,No Delivery
Giani's,"Ice Cream, Desserts",400,0,0,1,3.1,Average,9,New Delhi,Jangpura,28.5793555000,77.2412786000,Rs.,Budget,Ice Cream,Average,No Delivery
Pakeeza Burger,"North Indian, Afghani",600,0,0,2,2.6,Average,15,New Delhi,Jangpura,28.5813093000,77.2464820000,Rs.,Moderate,North Indian,Poor,No Delivery
Aggarwal Sweet India,"Mithai, Street Food",150,0,0,1,2.8,Average,15,New Delhi,Jangpura,28.5830716000,77.2450727000,Rs.,Budget,Mithai,Poor,No Delivery
Kadimi Dukan,"Street Food, Mithai",200,0,0,1,3.2,Average,10,New Delhi,Jangpura,28.5825578000,77.2481871000,Rs.,Budget,Street Food,Average,No Delivery
Nikku Hotel,"North Indian, Chinese, Fast Food",500,1,0,2,2.6,Average,9,New Delhi,Jangpura,28.5823905000,77.2515162000,Rs.,Moderate,North Indian,Poor,Has Delivery
